mort_adulte,age,poids,v021,v106,v190,v024,v501,v130,v463a,v113,v116
0,47.0,0.327058,13.0,2.0,4.0,10.0,1.0,4.0,0.0,11.0,12.0
0,44.0,0.327058,13.0,1.0,4.0,10.0,0.0,4.0,0.0,11.0,12.0
1,47.0,0.327058,13.0,1.0,5.0,10.0,1.0,4.0,0.0,13.0,12.0
0,39.0,0.327058,13.0,2.0,5.0,10.0,0.0,4.0,0.0,97.0,97.0
0,24.0,0.327058,13.0,1.0,4.0,10.0,1.0,4.0,0.0,21.0,23.0
0,38.0,0.327058,13.0,2.0,4.0,10.0,1.0,4.0,0.0,21.0,22.0
0,32.0,0.327058,13.0,1.0,5.0,10.0,3.0,4.0,0.0,71.0,22.0
0,32.0,0.327058,13.0,0.0,5.0,10.0,0.0,4.0,0.0,71.0,22.0
0,36.0,0.327058,13.0,1.0,4.0,10.0,1.0,4.0,0.0,21.0,22.0
0,30.0,0.327058,13.0,2.0,4.0,10.0,2.0,4.0,0.0,14.0,23.0
0,45.0,0.327058,13.0,1.0,3.0,10.0,1.0,4.0,0.0,14.0,23.0
0,14.0,0.327058,13.0,2.0,3.0,10.0,0.0,4.0,0.0,14.0,23.0
0,40.0,0.327058,13.0,1.0,4.0,10.0,1.0,4.0,0.0,12.0,12.0
0,31.0,0.988684,14.0,0.0,3.0,5.0,1.0,4.0,0.0,32.0,22.0
